2009020400577,เซรามิค20x20มุ้ยโม่-บราวน์PM@4/โสสุโก้,แผ่น,
2009020400607,เซรามิค20x20วูดริซ่า-บลูPM@4/โสสุโก้,แผ่น,
2009020400621,เซรามิค20x20วิลล่าฮัท-บราวน์PM@4/โสสุโก้,แผ่น,
2009020400638,เซรามิค20x20วิลล่าฮัท-โอ๊คPM@4/โสสุโก้,แผ่น,
2009020400645,เซรามิค20x20วิลล่าฮัท-ไอเวอรี่PM@4/โสสุโก้,แผ่น,
2009020400652,เซรามิค20x20ริโอลีน-เบจPM@4/โสสุโก้,แผ่น,
2009020400676,เซรามิค20x20ริโอลีน-ดาร์คบราวน์CM@4/โสสุโก้,แผ่น,
2009020400683,เซรามิค20x20เกรซโตรา-บราวน์PM@4/โสสุโก้,แผ่น,
2009020400690,เซรามิค20x20เกรซโตรา-เกรย์CM@4/โสสุโก้,แผ่น,
2009020400737,เซรามิค20x20โพรวอนซ์ก้า-บราวน์CM@4/โสสุโก้,แผ่น,
2009020400751,เซรามิค20x20โพรวอนซ์ก้า-เกรย์PM@4/โสสุโก้,แผ่น,
2009020700011,แกรนิโต้60x60ปาล์มวู๊ด บราวน์(รัสติค)CM@4/อาร์เต้,แผ่น,
2009020700028,แกรนิโต้60x60ทีคเกอร์ บราวน์(รัสติค)CM@4/อาร์เต้,แผ่น,
2009020700035,แกรนิโต้60x60ร๊อคเซีย ครีมCM@4/อาร์เต้,แผ่น,
2009020700042,แกรนิโต้60x60เทอร์รัซเซีย เบจCM@4/อาร์เต้,แผ่น,
2011050400014,อิฐบล็อค 7 ซม. (5KG),ก้อน,
2015040100021,บ่อพัก 60  ซม 2ทาง (เบอร์ 4),บ่อ,
2015040100028,บ่อพัก 60  ซม 3ทาง (เบอร์ 5) 60+80,บ่อ,
2015040100030,ท่อพัก เบอร์ 1 พร้อมฝา (15+20),ชุด,
2015040100031,บ่อพัก 30 ซม.2ทาง+ฝา,บ่อ,
2015040100038,บ่อมิเตอร์น้ำ 30x60x30,บ่อ,
2015070100015,แผ่นพื้น0.35x3ลวด6เส้น,แผ่น,
2019020401817,เซรามิค16x16 (DN) เรคคอร์ด-เทาเข้ม PM@6/คัมพาน่า,แผ่น,
2100860400377,กันชนประตูแสตนเลส รุ่น 512SS รุ่นกล่อง/ไทยรุ่งเรือง,ชุด,
2101010100099,ฝาพลาสติกขาว4ช่องFA-204/ช้าง,ชิ้น,
2101010100105,ฝาพลาสติกขาว6ช่องFA-206/ช้าง,ชิ้น,
2101010100112,โคมไฟห้อย YSD1552-H3/A&T,ชุด,
2101030300011,ไขควงซอฟ์ทคริท LC3-150 mm. แฉก /พัมคิน,ชิ้น,
2101030300028,ไขควงช่างไฟฟ้า DEV 3" แฉก /solex,ชิ้น,
2101030300042,ไขควงช่างไฟฟ้า DEV 5" แฉก /solex,ชิ้น,
2101030400025,ไขควงช่างไฟฟ้า DEV 4" แบน /solex,ชิ้น,
2101030400032,ไขควงช่างไฟฟ้า DEV 5" แบน /solex,ชิ้น,
2101030500015,ไขควงลองไฟ/META,อัน,
2101040600019,ค้อนหงอนไฟเบอร์หัวแม่เหล็ก(27มม.)/Away,ด้าม,
2101040800013,ด้ามค้อน/โฮมเมด,ด้าม,
2101051200017,คีมจับเชื่อม (อ๊อก) 300A /Liberty,ชิ้น,
2101051200024,คีมจับเชื่อม (อ๊อก) 500A /Liberty,ชิ้น,
2101051200035,สายเชื่อมยาง ดำ ขนาด 50x1100 (100 ม./ม้วน),เมตร,
2101051200056,สายเชื่อมยาง ดำ ขนาด 35x800 (20 ม./ม้วน),ม้วน,
2101051200073,สายเชื่อมยาง ดำ ขนาด 50x1100 (20 ม./ม้วน),ม้วน,
2101051200080,สายเชื่อมยาง ส้ม ขนาด 35x800 (20 ม./ม้วน),ม้วน,
2101059990019,คีมผูกลวด/BEC,อัน,
2101059990026,คีมผูกลวด/ สแตนเลส์,อัน,
2101059990040,ตัวยิงรีเวท/สแตนเลย์,ตัว,
2101059990057,ครีมล็อค/โปรแมน,ตัว,
2101059990064,คีมปากนกแก้ว (ขนาด6") รุ่นเพาเวอร์สปริง /solex,ตัว,
2101059990101,คีมแสตนเลสปากจิ้งไม่มีฟัน 590/solex,ตัว,
2101060100018,จอบขุด3ปอน/จระเข้,ชิ้น,
2101060100025,จอบหัวแร้ง(อีเตอร์),อัน,
2101060100032,จอบผสมปูน(ชนิดเชื่อม)/ช้างรวงข้าว,ชิ้น,
2101060100049,จอบขุด3ปอน/กิ้งก่าทอง,ชิ้น,
2101060100056,จอบขุด2ปอน/กิ้งก่าทอง,ชิ้น,
2101060300029,พลั่วแดง/ช้างบิน,ชิ้น,
2101060300036,พลั่วด้ามเหล็กเหลืองอ่อนปลายตัด(หนา1.5มม.)/ช้าง3ดาว,ชิ้น,
2101060300040,901574 พลั่วตักทรายด้ามเหล็กปลายแหลม ตรามงกฏ/SPOA,อัน,
2101060300041,901567 พลั่วตักทรายด้ามเหล็กปลายตัด ตรามงกฏ/SPOA,อัน,
2101060300067,เสียมขุดดินด้ามไม้กลางยาว 40 ซม./CTC,ชิ้น,
2101060300074,พลั่วตักทรายด้ามเหล็ก/CTC,ชิ้น,
2101060300081,111935 อีเตอร์ไม่มีด้าม/SPOA,ชิ้น,
2101060300098,111027 ด้ามพลั้ว 1 เมตร/SPOA,ชิ้น,
2101060300104,111027 ด้ามพลั้ว 1.50 เมตร/SPOA,ชิ้น,
2101060300111,563222 เสียมก่อสร้างจัมโบ้ A-006/SPOA,ชิ้น,
2101060400019,ด้ามเสียบ,ด้าม,
2101060500016,ด้ามจอบหัวแร้ง(อีเตอร์) 1เมตร,ด้าม,
2101060500023,101318 ด้ามอีเตอร์/SPOA,ด้าม,
